Basketball Reference,Basketball Reference Abreviation
ST. LOUIS HAWKS , SLH
MILWAUKEE HAWKS , MIL
TRI-CITIES BLACKHAWKS , TCB
CHARLOTTE HORNETS (1988-2004), CHH
FORT WAYNE PISTONS , FWP
SAN FRANCISCO WARRIORS , SFW
PHILADELPHIA WARRIORS , PHI
SAN DIEGO CLIPPERS , SDC
BUFFALO BRAVES , BUF
MINNEAPOLIS LAKERS , MIN
CHARLOTTE BOBCATS , CHA
VANCOUVER GRIZZLIES , VAN
NEW ORLEANS/OKLAHOMA CITY HORNETS , NOK
NEW ORLEANS HORNETS , NOH
SEATTLE SUPERSONICS , SEA
NEW JERSEY NETS , NJN
SYRACUSE NATIONALS , SYR
KANSAS CITY KINGS , KCK
KANSAS CITY-OMAHA KINGS , KCK
CINCINNATI ROYALS , CIN
ROCHESTER ROYALS , ROR
WASHINGTON BULLETS , WAS
CAPITAL BULLETS , CAP
BALTIMORE BULLETS , BAL
CHICAGO ZEPHYRS , CHI
CHICAGO PACKERS , CHI
ANDERSON PACKERS , AND
CHICAGO STAGS , CHI
INDIANAPOLIS OLYMPIANS , IND
SHEBOYGAN RED SKINS , SRS
ST. LOUIS BOMBERS , SLB
WASHINGTON CAPITOLS , WAS
NEW ORLEANS JAZZ , NOJ
WATERLOO HAWKS , WAT
SAN DIEGO ROCKETS , SDR
