vegas,Fanduel,Basketball Monsters,Basketball Reference,Basketball Reference Abreviation
Atlanta,ATL,ATL,ATLANTA HAWKS , ATL
Boston,BOS,BOS,BOSTON CELTICS , BOS
Brooklyn,BKN,BKN,BROOKLYN NETS , BRK
Charlotte,CHA,CHA,CHARLOTTE HORNETS (2014-Present), CHA
Chicago,CHI,CHI,CHICAGO BULLS , CHI
Cleveland,CLE,CLE,CLEVELAND CAVALIERS , CLE
Dallas,DAL,DAL,DALLAS MAVERICKS , DAL
Denver,DEN,DEN,DENVER NUGGETS , DEN
Detroit,DET,DET,DETROIT PISTONS , DET
Golden State,GS,GSW,GOLDEN STATE WARRIORS , GSW
Houston,HOU,HOU,HOUSTON ROCKETS , HOU
Indiana,IND,IND,INDIANA PACERS , IND
L.A. Clippers,LAC,LAC,LOS ANGELES CLIPPERS , LAC
L.A. Lakers,LAL,LAL,LOS ANGELES LAKERS , LAL
Memphis,MEM,MEM,MEMPHIS GRIZZLIES , MEM
Miami,MIA,MIA,MIAMI HEAT , MIA
Milwaukee,MIL,MIL,MILWAUKEE BUCKS , MIL
Minnesota,MIN,MIN,MINNESOTA TIMBERWOLVES , MIN
New Orleans,NO,NOR,NEW ORLEANS PELICANS , NOP
New York,NY,NYK,NEW YORK KNICKS , NYK
Oklahoma City,OKC,OKC,OKLAHOMA CITY THUNDER , OKC
Orlando,ORL,ORL,ORLANDO MAGIC , ORL
Philadelphia,PHI,PHI,PHILADELPHIA 76ERS , PHI
Phoenix,PHO,PHO,PHOENIX SUNS , PHO
Portland,POR,POR,PORTLAND TRAIL BLAZERS , POR
Sacramento,SAC,SAC,SACRAMENTO KINGS , SAC
San Antonio,SA,SAS,SAN ANTONIO SPURS , SAS
Toronto,TOR,TOR,TORONTO RAPTORS , TOR
Utah,UTA,UTA,UTAH JAZZ , UTA
Washington,WAS,WAS,WASHINGTON WIZARDS , WAS
